query,category,configuration,num_runs,use_gpt,use_id_matching,total_min,total_max,total_avg,total_median,total_std,gpt_refinement_min,gpt_refinement_max,gpt_refinement_avg,id_matching_min,id_matching_max,id_matching_avg,query_embedding_min,query_embedding_max,query_embedding_avg,semantic_search_min,semantic_search_max,semantic_search_avg
Optimization and operations research courses,semantic-only,full_system,5,True,True,1.3190195560455322,1.4188570976257324,1.3842525959014893,1.391871452331543,0.03820476749503378,1.2659504413604736,1.3529691696166992,1.3237569808959961,0.0,0.0,0.0,0.006765127182006836,0.008405208587646484,0.007643699645996094,0.04588127136230469,0.05716514587402344,0.05243449211120606
Optimization and operations research courses,semantic-only,full_system,10,True,True,1.3540139198303223,2.6225953102111816,1.9683085680007935,2.033306121826172,0.3867597624601406,1.2882275581359863,2.5568246841430664,1.9057722330093383,0.0,0.0,0.0,0.005548238754272461,0.008448362350463867,0.007901263236999512,0.043941497802734375,0.05733895301818848,0.05421249866485596
Courses on database systems and SQL,semantic-only,full_system,1,True,True,2.3898751735687256,2.3898751735687256,2.3898751735687256,2.3898751735687256,0.0,2.3239359855651855,2.3239359855651855,2.3239359855651855,0.0,0.0,0.0,0.008380413055419922,0.008380413055419922,0.008380413055419922,0.05714011192321777,0.05714011192321777,0.05714011192321777
Courses on database systems and SQL,semantic-only,full_system,5,True,True,1.850083351135254,3.0371410846710205,2.3169297218322753,2.2313153743743896,0.4446856183044339,1.7925653457641602,2.972757339477539,2.255618524551392,0.0,0.0,0.0,0.006859779357910156,0.008247613906860352,0.007617759704589844,0.04609942436218262,0.05738234519958496,0.05328998565673828
Courses on database systems and SQL,semantic-only,full_system,10,True,True,1.4540812969207764,2.949707508087158,2.062659192085266,2.078592896461487,0.5179764378959301,1.4005684852600098,2.8837509155273438,2.0032455682754517,0.0,0.0,0.0,0.006474494934082031,0.008313894271850586,0.007452750205993652,0.04500102996826172,0.05753469467163086,0.051543021202087404
I need CS 1332,id-only,full_system,1,True,True,2.125027656555176,2.125027656555176,2.125027656555176,2.125027656555176,0.0,2.055086374282837,2.055086374282837,2.055086374282837,0.0022482872009277344,0.0022482872009277344,0.0022482872009277344,0.00822305679321289,0.00822305679321289,0.00822305679321289,0.056154489517211914,0.056154489517211914,0.056154489517211914
I need CS 1332,id-only,full_system,5,True,True,1.573655605316162,2.019155263900757,1.7818774700164794,1.718740701675415,0.21050834235443577,1.5063271522521973,1.949488639831543,1.7182045936584474,0.001447439193725586,0.002101421356201172,0.0018630504608154296,0.006124734878540039,0.008369207382202148,0.007851409912109374,0.03047013282775879,0.05670595169067383,0.05089635848999023
I need CS 1332,id-only,full_system,10,True,True,1.325434684753418,2.270883321762085,1.76655433177948,1.7242242097854614,0.37713904624530475,1.2626514434814453,2.2204530239105225,1.7046712636947632,0.0015687942504882812,0.0021576881408691406,0.0019115924835205079,2.5033950805664062e-05,0.008542776107788086,0.00402379035949707,0.045584917068481445,0.05832195281982422,0.05302631855010986
CS 7641 or similar courses,id-only,full_system,1,True,True,1.458695888519287,1.458695888519287,1.458695888519287,1.458695888519287,0.0,1.3883395195007324,1.3883395195007324,1.3883395195007324,0.0020914077758789062,0.0020914077758789062,0.0020914077758789062,0.008410453796386719,0.008410453796386719,0.008410453796386719,0.05689096450805664,0.05689096450805664,0.05689096450805664
CS 7641 or similar courses,id-only,full_system,5,True,True,1.2860043048858643,2.377108573913574,1.9118531227111817,2.16165828704834,0.47685324262091233,1.2165052890777588,2.32083797454834,1.8449929237365723,0.0016303062438964844,0.0019910335540771484,0.0018942832946777343,0.006709098815917969,0.008466720581054688,0.007898664474487305,0.04517507553100586,0.05655264854431152,0.05413522720336914
CS 7641 or similar courses,id-only,full_system,10,True,True,1.4406070709228516,2.525634527206421,1.8763127326965332,1.7489864826202393,0.423796160806542,1.3777351379394531,2.456019163131714,1.8077431917190552,0.0019283294677734375,0.0020525455474853516,0.00200197696685791,3.1948089599609375e-05,0.00841069221496582,0.007350492477416992,0.05509042739868164,0.057534217834472656,0.05627462863922119
MATH 2106 and related courses,id-only,full_system,1,True,True,1.5199804306030273,1.5199804306030273,1.5199804306030273,1.5199804306030273,0.0,1.4629855155944824,1.4629855155944824,1.4629855155944824,0.0016210079193115234,0.0016210079193115234,0.0016210079193115234,0.0066375732421875,0.0066375732421875,0.0066375732421875,0.04586625099182129,0.04586625099182129,0.04586625099182129
MATH 2106 and related courses,id-only,full_system,5,True,True,1.3350756168365479,2.5844364166259766,2.0501089096069336,2.421790361404419,0.5999145956979014,1.2651662826538086,2.513974189758301,1.982675886154175,0.0017211437225341797,0.0020210742950439453,0.0019525051116943359,0.006755352020263672,0.008472919464111328,0.008062314987182618,0.046085357666015625,0.05706334114074707,0.05463113784790039
MATH 2106 and related courses,id-only,full_system,10,True,True,1.4854810237884521,3.047017812728882,2.0764180421829224,1.9612085819244385,0.49187865866556457,1.416576623916626,2.9774041175842285,2.012603259086609,0.0015766620635986328,0.0020711421966552734,0.001930999755859375,3.075599670410156e-05,0.008382081985473633,0.006308174133300782,0.04308915138244629,0.05782723426818848,0.052969169616699216
ISYE 6501,id-only,full_system,1,True,True,2.3111178874969482,2.3111178874969482,2.3111178874969482,2.3111178874969482,0.0,2.243151903152466,2.243151903152466,2.243151903152466,0.001703023910522461,0.001703023910522461,0.001703023910522461,0.008099079132080078,0.008099079132080078,0.008099079132080078,0.05603766441345215,0.05603766441345215,0.05603766441345215
ISYE 6501,id-only,full_system,5,True,True,1.2199623584747314,2.8132357597351074,1.8043879508972167,1.4044973850250244,0.6826966482866049,1.1574954986572266,2.7432403564453125,1.7411195278167724,0.0016274452209472656,0.0021009445190429688,0.001961803436279297,3.147125244140625e-05,0.008381366729736328,0.006252813339233399,0.043701887130737305,0.057534217834472656,0.05210471153259277
ISYE 6501,id-only,full_system,10,True,True,1.0348491668701172,3.0269393920898438,1.9392699956893922,1.9285497665405273,0.6885908079991115,0.9843528270721436,2.9579789638519287,1.875441312789917,0.0016045570373535156,0.002024412155151367,0.0018480777740478515,2.765655517578125e-05,0.008329391479492188,0.006846404075622559,0.04593801498413086,0.05649757385253906,0.05220608711242676
Machine learning courses like CS 7641,mixed,full_system,1,True,True,2.1870434284210205,2.1870434284210205,2.1870434284210205,2.1870434284210205,0.0,2.118443727493286,2.118443727493286,2.118443727493286,0.001939535140991211,0.001939535140991211,0.001939535140991211,0.008048534393310547,0.008048534393310547,0.008048534393310547,0.05568361282348633,0.05568361282348633,0.05568361282348633
Machine learning courses like CS 7641,mixed,full_system,5,True,True,1.5987861156463623,2.4465434551239014,1.9140470027923584,1.924384355545044,0.33267560335070934,1.533416986465454,2.378469944000244,1.8481630325317382,0.0015571117401123047,0.001997709274291992,0.001758575439453125,0.006359577178955078,0.008474588394165039,0.007454490661621094,0.045297861099243164,0.05695819854736328,0.05371246337890625
Machine learning courses like CS 7641,mixed,full_system,10,True,True,1.3031506538391113,2.7945430278778076,1.823276734352112,1.7530324459075928,0.4479475798856807,1.233469009399414,2.723362684249878,1.7560892581939698,0.0015339851379394531,0.0020148754119873047,0.001860332489013672,2.5272369384765625e-05,0.00837850570678711,0.0063690185546875,0.04586076736450195,0.05925393104553223,0.05600364208221435
"Data structures courses, specifically CS 1332 or equivalent",mixed,full_system,1,True,True,2.722449541091919,2.722449541091919,2.722449541091919,2.722449541091919,0.0,2.6515533924102783,2.6515533924102783,2.6515533924102783,0.0019948482513427734,0.0019948482513427734,0.0019948482513427734,0.00826120376586914,0.00826120376586914,0.00826120376586914,0.057717084884643555,0.057717084884643555,0.057717084884643555
"Data structures courses, specifically CS 1332 or equivalent",mixed,full_system,5,True,True,1.3168761730194092,2.8661208152770996,1.9940330982208252,1.8442573547363281,0.624432034596177,1.245821237564087,2.7948591709136963,1.9269859313964843,0.0016262531280517578,0.0020189285278320312,0.0019290924072265625,3.170967102050781e-05,0.00843358039855957,0.006347465515136719,0.047179222106933594,0.058757781982421875,0.05583457946777344
"Data structures courses, specifically CS 1332 or equivalent",mixed,full_system,10,True,True,1.4592392444610596,2.917387008666992,2.097807264328003,2.1761631965637207,0.5130966205730128,1.3952643871307373,2.846238851547241,2.029537534713745,0.001554250717163086,0.0020372867584228516,0.0019251108169555664,2.5272369384765625e-05,0.008351802825927734,0.006431984901428223,0.04703378677368164,0.05951952934265137,0.056977462768554685
I want to take CS 4641 or other machine learning courses,mixed,full_system,1,True,True,1.7322258949279785,1.7322258949279785,1.7322258949279785,1.7322258949279785,0.0,1.663637399673462,1.663637399673462,1.663637399673462,0.0019505023956298828,0.0019505023956298828,0.0019505023956298828,0.00774693489074707,0.00774693489074707,0.00774693489074707,0.05596446990966797,0.05596446990966797,0.05596446990966797
I want to take CS 4641 or other machine learning courses,mixed,full_system,5,True,True,1.402423620223999,2.3361706733703613,1.631194257736206,1.4743666648864746,0.39724637660040485,1.3437278270721436,2.265204429626465,1.5653722763061524,0.001608133316040039,0.002031564712524414,0.001903200149536133,0.00683140754699707,0.008309125900268555,0.007832908630371093,0.04107928276062012,0.06134605407714844,0.05304131507873535
I want to take CS 4641 or other machine learning courses,mixed,full_system,10,True,True,1.4017953872680664,2.6915781497955322,1.9029945850372314,1.759792685508728,0.4383391343007852,1.331221342086792,2.6288745403289795,1.8366327047348023,0.0016384124755859375,0.0020563602447509766,0.001916360855102539,3.933906555175781e-05,0.008438825607299805,0.007132577896118164,0.047081708908081055,0.05880331993103027,0.05456442832946777
"Optimization courses, maybe ISYE 6669",mixed,full_system,1,True,True,1.3676650524139404,1.3676650524139404,1.3676650524139404,1.3676650524139404,0.0,1.3119323253631592,1.3119323253631592,1.3119323253631592,0.0016613006591796875,0.0016613006591796875,0.0016613006591796875,0.006744384765625,0.006744384765625,0.006744384765625,0.04447197914123535,0.04447197914123535,0.04447197914123535
"Optimization courses, maybe ISYE 6669",mixed,full_system,5,True,True,1.4731872081756592,2.410003662109375,1.8118158817291259,1.5729217529296875,0.41859028143626004,1.4020860195159912,2.3386456966400146,1.7465147972106934,0.0015714168548583984,0.0020453929901123047,0.001825571060180664,0.006473064422607422,0.008493185043334961,0.007678318023681641,0.04615640640258789,0.057978153228759766,0.05284419059753418
"Optimization courses, maybe ISYE 6669",mixed,full_system,10,True,True,1.5673797130584717,2.623706579208374,2.1051592350006105,2.238979697227478,0.3927954596852721,1.4967339038848877,2.553788661956787,2.0367948055267333,0.0016040802001953125,0.002061128616333008,0.0018913984298706056,0.00680088996887207,0.008588075637817383,0.00794365406036377,0.047414302825927734,0.0578920841217041,0.05558979511260986
ISYE courses on optimization and operations research,department-specific,full_system,1,True,True,1.9517168998718262,1.9517168998718262,1.9517168998718262,1.9517168998718262,0.0,1.8847262859344482,1.8847262859344482,1.8847262859344482,0.0,0.0,0.0,0.008261680603027344,0.008261680603027344,0.008261680603027344,0.05831027030944824,0.05831027030944824,0.05831027030944824
ISYE courses on optimization and operations research,department-specific,full_system,5,True,True,1.416240930557251,2.297255277633667,1.832927656173706,1.8022589683532715,0.3443020499381594,1.3501529693603516,2.230301856994629,1.7660601139068604,0.0,0.0,0.0,0.008050203323364258,0.008414983749389648,0.008266544342041016,0.057618141174316406,0.05843329429626465,0.058173751831054686
ISYE courses on optimization and operations research,department-specific,full_system,10,True,True,1.2894456386566162,3.0101511478424072,1.9907319784164428,1.906772255897522,0.6083684240562588,1.222649097442627,2.942833185195923,1.9237257242202759,0.0,0.0,0.0,0.008046627044677734,0.008485794067382812,0.008300447463989257,0.057889461517333984,0.05856060981750488,0.05828418731689453
CS courses about artificial intelligence,department-specific,full_system,1,True,True,1.8703222274780273,1.8703222274780273,1.8703222274780273,1.8703222274780273,0.0,1.8045539855957031,1.8045539855957031,1.8045539855957031,0.0,0.0,0.0,0.008376121520996094,0.008376121520996094,0.008376121520996094,0.05697202682495117,0.05697202682495117,0.05697202682495117
CS courses about artificial intelligence,department-specific,full_system,5,True,True,1.3333261013031006,2.6408743858337402,1.8666435718536376,1.6820347309112549,0.492450636495108,1.2670173645019531,2.5931148529052734,1.8060618400573731,0.0,0.0,0.0,3.4332275390625e-05,0.008310317993164062,0.006325483322143555,0.04731249809265137,0.05831575393676758,0.05382781028747559
CS courses about artificial intelligence,department-specific,full_system,10,True,True,1.3744664192199707,2.911633253097534,1.916909122467041,1.7277262210845947,0.531954372657059,1.307992935180664,2.8446669578552246,1.855651354789734,0.0,0.0,0.0,3.0994415283203125e-05,0.008370637893676758,0.006200933456420898,0.047125816345214844,0.05901479721069336,0.05464363098144531
MATH courses on linear algebra and calculus,department-specific,full_system,1,True,True,1.3112986087799072,1.3112986087799072,1.3112986087799072,1.3112986087799072,0.0,1.245694875717163,1.245694875717163,1.245694875717163,0.0,0.0,0.0,0.00768280029296875,0.00768280029296875,0.00768280029296875,0.057479143142700195,0.057479143142700195,0.057479143142700195
MATH courses on linear algebra and calculus,department-specific,full_system,5,True,True,1.2045273780822754,2.0394062995910645,1.4256975173950195,1.3099229335784912,0.3480841341888108,1.156996488571167,1.9724149703979492,1.3651674747467042,0.0,0.0,0.0,2.9325485229492188e-05,0.008311271667480469,0.006254768371582032,0.04708266258239746,0.05826234817504883,0.053851985931396486
MATH courses on linear algebra and calculus,department-specific,full_system,10,True,True,1.3387668132781982,2.447735071182251,2.081705164909363,2.1657787561416626,0.3757322198783015,1.2789366245269775,2.388016939163208,2.0177083015441895,0.0,0.0,0.0,3.0994415283203125e-05,0.008371353149414062,0.006547355651855468,0.0467534065246582,0.059342384338378906,0.05701692104339599
ECE courses on signal processing,department-specific,full_system,1,True,True,2.545539140701294,2.545539140701294,2.545539140701294,2.545539140701294,0.0,2.4806201457977295,2.4806201457977295,2.4806201457977295,0.0,0.0,0.0,0.008185625076293945,0.008185625076293945,0.008185625076293945,0.056319475173950195,0.056319475173950195,0.056319475173950195
ECE courses on signal processing,department-specific,full_system,5,True,True,1.4330124855041504,2.618088483810425,2.142418909072876,2.4907307624816895,0.5967194844240726,1.3674061298370361,2.570268392562866,2.0884119987487795,0.0,0.0,0.0,0.005226612091064453,0.008265972137451172,0.006456518173217773,0.039875030517578125,0.05689668655395508,0.047106170654296876
ECE courses on signal processing,department-specific,full_system,10,True,True,1.481689691543579,2.727898120880127,1.905472993850708,1.8402444124221802,0.3733356438752652,1.4230306148529053,2.6622681617736816,1.8438108682632446,0.0,0.0,0.0,4.601478576660156e-05,0.008353233337402344,0.007159638404846192,0.04515671730041504,0.0581967830657959,0.05408511161804199
Graduate courses in computer vision,graduate-level,full_system,1,True,True,1.830803632736206,1.830803632736206,1.830803632736206,1.830803632736206,0.0,1.765458345413208,1.765458345413208,1.765458345413208,0.0,0.0,0.0,0.008232355117797852,0.008232355117797852,0.008232355117797852,0.0567021369934082,0.0567021369934082,0.0567021369934082
Graduate courses in computer vision,graduate-level,full_system,5,True,True,1.5870003700256348,2.6528804302215576,2.067536973953247,1.9027166366577148,0.42624085406808426,1.5339577198028564,2.6022777557373047,2.0080987453460692,0.0,0.0,0.0,0.00499725341796875,0.008337020874023438,0.00724325180053711,0.04519295692443848,0.05669093132019043,0.051768922805786134
Graduate courses in computer vision,graduate-level,full_system,10,True,True,1.4718680381774902,2.6053566932678223,2.120296573638916,2.065791964530945,0.3699064903226984,1.4062929153442383,2.551954746246338,2.0580211162567137,0.0,0.0,0.0,0.006827831268310547,0.008387327194213867,0.008113598823547364,0.0461583137512207,0.05725216865539551,0.053743624687194826
Advanced machine learning courses for graduate students,graduate-level,full_system,1,True,True,1.666820764541626,1.666820764541626,1.666820764541626,1.666820764541626,0.0,1.6022834777832031,1.6022834777832031,1.6022834777832031,0.0,0.0,0.0,0.007822751998901367,0.007822751998901367,0.007822751998901367,0.056290626525878906,0.056290626525878906,0.056290626525878906
Advanced machine learning courses for graduate students,graduate-level,full_system,5,True,True,1.3878729343414307,2.2967746257781982,1.7173811435699462,1.6461241245269775,0.34716364900606644,1.336371898651123,2.2308669090270996,1.6568323612213134,0.0,0.0,0.0,0.006420135498046875,0.008783102035522461,0.007781267166137695,0.04468226432800293,0.05730009078979492,0.052352619171142575
Advanced machine learning courses for graduate students,graduate-level,full_system,10,True,True,1.465559482574463,2.6190109252929688,1.9421500444412232,1.8749842643737793,0.42058987915295554,1.4001286029815674,2.5863022804260254,1.8873456478118897,0.0,0.0,0.0,3.743171691894531e-05,0.008405208587646484,0.006063103675842285,0.027983665466308594,0.05786943435668945,0.04834682941436767
Courses with minimal prerequisites,edge-case,full_system,1,True,True,2.0298309326171875,2.0298309326171875,2.0298309326171875,2.0298309326171875,0.0,1.9638631343841553,1.9638631343841553,1.9638631343841553,0.0,0.0,0.0,0.008373737335205078,0.008373737335205078,0.008373737335205078,0.05716586112976074,0.05716586112976074,0.05716586112976074
Courses with minimal prerequisites,edge-case,full_system,5,True,True,1.335550308227539,2.1370742321014404,1.7457926273345947,1.92812180519104,0.35637704000420534,1.282106876373291,2.0854909420013428,1.6878821849822998,0.0,0.0,0.0,0.006366729736328125,0.008463144302368164,0.007594156265258789,0.044585227966308594,0.05716991424560547,0.04990253448486328
Courses with minimal prerequisites,edge-case,full_system,10,True,True,1.3723886013031006,2.3147923946380615,1.8374966621398925,1.7905464172363281,0.3211209007237971,1.310758113861084,2.249073028564453,1.776188898086548,0.0,0.0,0.0,2.4318695068359375e-05,0.008415699005126953,0.006330323219299316,0.04600715637207031,0.06116604804992676,0.0545565128326416
CS 1332 CS 1331,edge-case,full_system,1,True,True,1.2962915897369385,1.2962915897369385,1.2962915897369385,1.2962915897369385,0.0,1.2600595951080322,1.2600595951080322,1.2600595951080322,0.0010912418365478516,0.0010912418365478516,0.0010912418365478516,0.0044248104095458984,0.0044248104095458984,0.0044248104095458984,0.028416872024536133,0.028416872024536133,0.028416872024536133
CS 1332 CS 1331,edge-case,full_system,5,True,True,1.7506129741668701,2.473299264907837,2.041438674926758,1.9847824573516846,0.31490886516105954,1.6927850246429443,2.3996024131774902,1.9775271892547608,0.0016241073608398438,0.0021016597747802734,0.0018164634704589844,0.006426095962524414,0.008487462997436523,0.0073436260223388675,0.04601311683654785,0.05949687957763672,0.051645088195800784
CS 1332 CS 1331,edge-case,full_system,10,True,True,1.6241464614868164,2.611654281616211,2.0404571294784546,1.8593109846115112,0.3813802195832996,1.5546560287475586,2.5484652519226074,1.9744654178619385,0.0017044544219970703,0.0021228790283203125,0.0019921302795410157,2.574920654296875e-05,0.008527755737304688,0.00656437873840332,0.043508291244506836,0.05793619155883789,0.0542522668838501
I haven't taken calculus,edge-case,full_system,1,True,True,1.5302016735076904,1.5302016735076904,1.5302016735076904,1.5302016735076904,0.0,1.4771127700805664,1.4771127700805664,1.4771127700805664,0.0,0.0,0.0,0.00667119026184082,0.00667119026184082,0.00667119026184082,0.0459897518157959,0.0459897518157959,0.0459897518157959
I haven't taken calculus,edge-case,full_system,5,True,True,1.1236629486083984,1.6343414783477783,1.3411614418029785,1.3002727031707764,0.187761313188294,1.0580265522003174,1.581319808959961,1.2830035209655761,0.0,0.0,0.0,4.291534423828125e-05,0.008105039596557617,0.005438566207885742,0.046018362045288086,0.058672428131103516,0.052294158935546876
I haven't taken calculus,edge-case,full_system,10,True,True,1.1251428127288818,2.217102289199829,1.6457470417022706,1.6513179540634155,0.354410062490501,1.0717005729675293,2.1515941619873047,1.583221936225891,0.0,0.0,0.0,3.528594970703125e-05,0.008326053619384766,0.007103514671325683,0.0460968017578125,0.05803942680358887,0.054942870140075685
I want to learn machine learning and neural networks,semantic-only,no_gpt,1,False,True,0.07584357261657715,0.07584357261657715,0.07584357261657715,0.07584357261657715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047444820404052734,0.047444820404052734,0.047444820404052734,0.028095722198486328,0.028095722198486328,0.028095722198486328
I want to learn machine learning and neural networks,semantic-only,no_gpt,5,False,True,0.026779890060424805,0.028796911239624023,0.0275022029876709,0.027325153350830078,0.0007608210426643384,0.0,0.0,0.0,0.0,0.0,0.0,2.002716064453125e-05,2.2411346435546875e-05,2.0933151245117187e-05,0.026488542556762695,0.028496503829956055,0.027210760116577148
I want to learn machine learning and neural networks,semantic-only,no_gpt,10,False,True,0.02732110023498535,0.030150651931762695,0.028040361404418946,0.02760457992553711,0.0008876759747550496,0.0,0.0,0.0,0.0,0.0,0.0,2.0503997802734375e-05,2.288818359375e-05,2.1648406982421874e-05,0.027024507522583008,0.029840469360351562,0.027741765975952147
Courses about data structures and algorithms,semantic-only,no_gpt,1,False,True,0.03287005424499512,0.03287005424499512,0.03287005424499512,0.03287005424499512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003962516784667969,0.003962516784667969,0.003962516784667969,0.028646469116210938,0.028646469116210938,0.028646469116210938
Courses about data structures and algorithms,semantic-only,no_gpt,5,False,True,0.02707362174987793,0.02927708625793457,0.027832460403442384,0.02753448486328125,0.0008598391677096273,0.0,0.0,0.0,0.0,0.0,0.0,1.811981201171875e-05,1.8835067749023438e-05,1.850128173828125e-05,0.02678203582763672,0.028987407684326172,0.027540111541748048
Courses about data structures and algorithms,semantic-only,no_gpt,10,False,True,0.026706695556640625,0.029005050659179688,0.027392029762268066,0.02716231346130371,0.0007088908811151044,0.0,0.0,0.0,0.0,0.0,0.0,1.7404556274414062e-05,2.5033950805664062e-05,1.94549560546875e-05,0.026416301727294922,0.02869725227355957,0.027096891403198244
I'm interested in computer vision and image processing,semantic-only,no_gpt,1,False,True,0.030274391174316406,0.030274391174316406,0.030274391174316406,0.030274391174316406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003957033157348633,0.003957033157348633,0.003957033157348633,0.026047945022583008,0.026047945022583008,0.026047945022583008
I'm interested in computer vision and image processing,semantic-only,no_gpt,5,False,True,0.0271151065826416,0.028754711151123047,0.027873516082763672,0.02751946449279785,0.0007219704120801887,0.0,0.0,0.0,0.0,0.0,0.0,1.7642974853515625e-05,2.0503997802734375e-05,1.9359588623046876e-05,0.026816129684448242,0.02846074104309082,0.027575111389160155
I'm interested in computer vision and image processing,semantic-only,no_gpt,10,False,True,0.0268099308013916,0.02955937385559082,0.027922797203063964,0.027380824089050293,0.0009764069570662897,0.0,0.0,0.0,0.0,0.0,0.0,1.8596649169921875e-05,2.09808349609375e-05,2.0051002502441405e-05,0.02650904655456543,0.029272794723510742,0.027628278732299803
Optimization and operations research courses,semantic-only,no_gpt,1,False,True,0.030275821685791016,0.030275821685791016,0.030275821685791016,0.030275821685791016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003908395767211914,0.003908395767211914,0.003908395767211914,0.026094913482666016,0.026094913482666016,0.026094913482666016
Optimization and operations research courses,semantic-only,no_gpt,5,False,True,0.027054548263549805,0.029892444610595703,0.028514814376831055,0.028976917266845703,0.0012046528220600427,0.0,0.0,0.0,0.0,0.0,0.0,1.6689300537109375e-05,2.8371810913085938e-05,2.13623046875e-05,0.02676081657409668,0.029591798782348633,0.02821831703186035
Optimization and operations research courses,semantic-only,no_gpt,10,False,True,0.02758622169494629,0.02979731559753418,0.028709888458251953,0.0287705659866333,0.0006910175799127074,0.0,0.0,0.0,0.0,0.0,0.0,1.8596649169921875e-05,2.0742416381835938e-05,1.9669532775878906e-05,0.027289628982543945,0.029508352279663086,0.02841799259185791
Courses on database systems and SQL,semantic-only,no_gpt,1,False,True,0.03280496597290039,0.03280496597290039,0.03280496597290039,0.03280496597290039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003988504409790039,0.003988504409790039,0.003988504409790039,0.028537750244140625,0.028537750244140625,0.028537750244140625
Courses on database systems and SQL,semantic-only,no_gpt,5,False,True,0.028577566146850586,0.029297828674316406,0.028925275802612303,0.028826236724853516,0.00027927027731652746,0.0,0.0,0.0,0.0,0.0,0.0,1.8358230590820312e-05,2.0503997802734375e-05,1.969337463378906e-05,0.0282895565032959,0.02899456024169922,0.028625679016113282
Courses on database systems and SQL,semantic-only,no_gpt,10,False,True,0.028699636459350586,0.029273033142089844,0.028960609436035158,0.028966546058654785,0.00016243806162236402,0.0,0.0,0.0,0.0,0.0,0.0,1.9311904907226562e-05,2.4080276489257812e-05,2.067089080810547e-05,0.02840423583984375,0.028983592987060547,0.028666424751281738
